metric,value_2024,value_2025,unit,delta,delta_pct,direction,source_2024,source_2025,notes
pnad_clt_privado,38700000,38900000,people,200000,0.52,up,20,58,IBGE annual private CLT
pnad_informais,40300000,39227000,people,-1073000,-2.66,down,19,59,"2024 figure from earlier PNAD release (40.3 mi); 2025 from retrospectiva (39.5 mi - 273k). Series not fully revised for 2024 in this research CSV."
pnad_informais_aligned,39500000,39227000,people,-273000,-0.69,down,59,59,Both years from IBGE retrospectiva 2012-2025
informais_mais_intermitentes,40772071,39722400,people,-1049671,-2.57,down,19,59,Uses 2024 CSV informals+RAIS and 2025 informals+scaled intermitentes
mei_ativos,11700000,12660170,firms,960170,8.21,up,44,60,Mapa de Empresas
empresarios_nao_mei,10300000,11553275,firms,1253275,12.17,up,44,60,Empresas ativas minus MEI
bf_people,57000000,51800000,people,-5200000,-9.12,down,27,62,"2024 Jan people 57 mi; 2025 avg estimate ~51.8 mi"
bf_families,21100000,19800000,families,-1300000,-6.16,down,27,62,"2024 Jan 21.1 mi; 2025 MDS avg ~19.8 mi"
bf_working_age_employed_est,26676000,24242400,people,-2433600,-9.12,down,25,25,Same 46.8% IPEA proxy applied to people totals
bf_working_age_not_employed_est,1824000,1657600,people,-166400,-9.12,down,25,25,Scales with working-age residual
bf_not_working_age_est,28500000,25900000,people,-2600000,-9.12,down,27,62,50% proxy of people total
pnad_informalidade_taxa,39.0,38.1,percent,-0.9,-2.31,down,20,58,Annual informality rate
pnad_desocupacao_anual,6.6,5.6,percent,-1.0,-15.15,down,20,58,Annual unemployment rate
bf_domicilios_share,18.6,17.2,percent,-1.4,-7.53,down,28,28,IBGE share of households with BF
